Identifier,Location,Date,Languages,medium,transcription,translation,url,image_id
 = P.Got. 101 = P. Got. inv. 106 = gothenburg 112,unbekannt,226 CE - 300 CE," grc, grc",,,,"/ddbdp/ddbdp;2020;3?rows=3&start=821&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=822&t=3676",10
 = DDbDP 2020 5 = P. Lund. inv. 85 = lund 92,unbekannt,1 CE - 200 CE," grc, grc",,,,"/ddbdp/ddbdp;2020;5?rows=3&start=822&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=823&t=3676",11
 = Pap.Lugd.Bat. 23  = O. Leiden Pap. Inst. inv. 57 = leidenpapinst o057,Thebes,151 CE - 200 CE," grc, grc",,,,"/ddbdp/ddbdp;2023;1?rows=3&start=823&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=824&t=3676",12
 = P. Lund. inv. 48 = lund 55,,544 CE,grc,,,,"/apis/lund.apis.55?rows=3&start=861&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=862&t=3676",13
 = P. Lund. inv. 43 = lund 50,,193 CE,grc,,,,"/apis/lund.apis.50?rows=3&start=857&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=858&t=3676",14
 = Col. inv. 102 = columbia p549,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p549?rows=3&start=379&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=380&t=3676",15
 = Col. inv. 102 = columbia p550,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p550?rows=3&start=380&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=381&t=3676",16
 = Princ. inv. AM 13395 2 A = princeton p217,,100 CE - 199 CE,grc,,,,"/apis/princeton.apis.p217?rows=3&start=3471&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=3472&t=3676",17
 = AnalPap 26  = Leiden Pap. Inst. inv. 117 = leidenpapinst p0117,unbekannt,1 CE - 100 CE," grc, grc",,,,"/ddbdp/analpap;26;235?rows=2&start=0&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=0&t=3676",18
 = APF 61  = P.Tebt. 2 496 = P.Tebt.0496 = berkeley 819,"Tebtynis (Arsinoites, Ägypten)",162 CE - 166 CE," grc, grc",,,,"/ddbdp/apf;61;163?rows=3&start=0&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=1&t=3676",19
 = APF 67 S. 351 = Col. inv. 122 = columbia p768,Theadelphia (Arsinoites),134 CE," grc, grc",,,,"/ddbdp/apf;67;351?rows=3&start=1&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=2&t=3676",20
 = BASP 47  = Col. inv. 134 recto = columbia p815,Oxyrhynchos,95 CE - 96 CE," grc, grc",,,,"/ddbdp/basp;47;46?rows=3&start=2&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=3&t=3676",21
 = BASP 49  = P.Tebt. 2 523 = P.Tebt.0523 = berkeley 842,Tebtynis (Arsinoites),164 CE," grc, grc",,,,"/ddbdp/basp;49;68?rows=3&start=3&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=4&t=3676",22
 = BASP 49  = P.Tebt. 2 583 = P.Tebt.0583 = berkeley 181,Pannonien ?,201 CE - 300 CE," grc, grc",,,,"/ddbdp/basp;49;83?rows=3&start=4&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=5&t=3676",23
 = BASP 50  = P.Tebt. 2 519 = P.Tebt.0519 = berkeley 836,Tebtynis (Arsinoites),11 CE," grc, grc",,,,"/ddbdp/basp;50;40?rows=3&start=5&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=6&t=3676",24
 = BASP 50  = P.Tebt. 2 348 = P.Tebt.0348 = berkeley 733,Tebtynis (Arsinoites),24 CE," grc, grc",,,,"/ddbdp/basp;50;45?rows=3&start=6&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=7&t=3676",25
 = BASP 50  = P.Tebt. 2 562 = P.Tebt.0562 = berkeley 1098,Tebtynis (Arsinoites),133 CE - 137 CE," grc, grc",,,,"/ddbdp/basp;50;125?rows=3&start=7&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=8&t=3676",26
 = BASP 53  = P.Col. 10 249 = Col.inv. 7 = columbia p282,"Fundort: Theadelphia (Arsinoites, Ägypten); Schreibort: Philagris (Arsinoites, Ägypten)",10 CE," grc, grc",,,,"/ddbdp/basp;53;110_4?rows=3&start=8&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=9&t=3676",27
 = BASP 56  = P.Lund 6 10 = P. Lund. inv. 26 = lund 33,"Arsinoiton Polis oder Skenai Mandrai (Memphites, Ägypten)",400 CE," grc, grc",,,,"/ddbdp/basp;56;131?rows=3&start=9&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=10&t=3676",28
 = BASP 58  = P. Lund. inv. 41 = lund 48,Herakleopolites,301 CE - 500 CE," grc, grc",,,,"/ddbdp/basp;58;151?rows=3&start=10&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=11&t=3676",29
 = BASP 59  = P.Tebt. 2 529 = P.Tebt.0529 = berkeley 432,"Tebtynis (Arsinoites, Ägypten)",111 CE," grc, grc",,,,"/ddbdp/basp;59;70_2?rows=3&start=12&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=13&t=3676",30
 = BASP 59  = P.Tebt. 1 264 = P.Tebt.0264 = berkeley 719,"Tebtynis (Arsinoites, Ägypten)",115 BCE," grc, grc",,,,"/ddbdp/basp;59;313?rows=3&start=11&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=12&t=3676",31
 = BASP 60  = P. Got. inv. 9 = gothenburg 21,"Arsinoites ?, Ägypten",576 CE - 625 CE," grc, grc",,,,"/ddbdp/basp;60;342?rows=3&start=13&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=14&t=3676",32
 = P.Tebt. 1 82 = P.Tebt. 1 82 = P.Tebt.0082 = berkeley 497,Magdola (Arsinoites),115 BCE," grc, grc",,,,"/ddbdp/chr.wilck;;232?rows=3&start=280&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=281&t=3676",33
 = P.Tebt. 1 30 = P.Tebt. 1 30 = P.Tebt.0030 = berkeley 6,Arsinoites,115 BCE," grc, grc",,,,"/ddbdp/chr.wilck;;233?rows=3&start=281&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=282&t=3676",34
 = P.Tebt. 2 287 = P.Tebt. 2 286 = P.Tebt.0286 = berkeley 293,Tebtynis (Arsinoites) Tebtynis (Arsinoites),138 CE - 169 CE," grc, grc",,,,"/ddbdp/chr.wilck;;251?rows=3&start=282&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=283&t=3676",35
 = P.Tebt. 2 288 = P.Tebt. 2 288 = P.Tebt.0288 = berkeley 61,Arsinoites,226 CE," grc, grc",,,,"/ddbdp/chr.wilck;;266?rows=3&start=283&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=284&t=3676",36
 = W.Chr. 327 = W.Chr. 327 = P.Tebt.0210 = berkeley 678,Tebtynis (Arsinoites),107 BCE," grc, grc",,,,"/ddbdp/chr.wilck;;327?rows=3&start=284&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=285&t=3676",37
 = P.Tebt. 1 27 = P.Tebt. 1 27 = P.Tebt.0027 A = berkeley 366,Kerkeosiris (Arsinoites) Kerkeosiris (Arsinoites),113 BCE," grc, grc",,,,"/ddbdp/chr.wilck;;331?rows=3&start=285&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=286&t=3676",38
 = columbia p949,,100 CE - 299 CE,grc,,,,"/apis/columbia.apis.p949?rows=3&start=537&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=538&t=3676",39
 = columbia p660,,300 CE - 499 CE,grc,,,,"/apis/columbia.apis.p660?rows=3&start=414&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=415&t=3676",40
 = columbia p405,,14 CE - 68 CE,grc,,,,"/apis/columbia.apis.p405?rows=3&start=312&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=313&t=3676",41
 = columbia p408,,54 CE - 68 CE,grc,,,,"/apis/columbia.apis.p408?rows=3&start=314&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=315&t=3676",42
 = columbia p409,,81 CE - 96 CE,grc,,,,"/apis/columbia.apis.p409?rows=3&start=315&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=316&t=3676",43
 = columbia p411,,100 CE - 299 CE,grc,,,,"/apis/columbia.apis.p411?rows=3&start=316&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=317&t=3676",44
 = columbia p412,,99 CE - 100 CE,grc,,,,"/apis/columbia.apis.p412?rows=3&start=317&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=318&t=3676",45
 = columbia p413,,184 CE - 185 CE,grc,,,,"/apis/columbia.apis.p413?rows=3&start=318&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=319&t=3676",46
 = columbia p414,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p414?rows=3&start=319&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=320&t=3676",47
 = columbia p415,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p415?rows=3&start=320&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=321&t=3676",48
 = columbia p417,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p417?rows=3&start=321&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=322&t=3676",49
 = columbia p419,,100 CE - 150 CE,grc,,,,"/apis/columbia.apis.p419?rows=3&start=322&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=323&t=3676",50
 = columbia p420,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p420?rows=3&start=323&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=324&t=3676",51
 = columbia p423,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p423?rows=3&start=324&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=325&t=3676",52
 = columbia p424,,200 CE - 299 CE,grc,,,,"/apis/columbia.apis.p424?rows=3&start=325&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=326&t=3676",53
 = columbia p426,,200 CE - 299 CE,grc,,,,"/apis/columbia.apis.p426?rows=3&start=326&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=327&t=3676",54
 = columbia p427,,1 CE - 199 CE,grc,,,,"/apis/columbia.apis.p427?rows=3&start=327&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=328&t=3676",55
 = columbia p428,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p428?rows=3&start=328&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=329&t=3676",56
 = columbia p431,,200 CE - 299 CE,grc,,,,"/apis/columbia.apis.p431?rows=3&start=329&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=330&t=3676",57
 = columbia p432,,100 CE - 299 CE,grc,,,,"/apis/columbia.apis.p432?rows=3&start=330&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=331&t=3676",58
 = columbia p433,,200 CE - 399 CE,grc,,,,"/apis/columbia.apis.p433?rows=3&start=331&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=332&t=3676",59
 = columbia p441,,300 CE - 399 CE,grc,,,,"/apis/columbia.apis.p441?rows=3&start=332&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=333&t=3676",60
 = columbia p442,,200 CE - 399 CE,grc,,,,"/apis/columbia.apis.p442?rows=3&start=333&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=334&t=3676",61
 = columbia p443,,200 CE - 399 CE,grc,,,,"/apis/columbia.apis.p443?rows=3&start=334&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=335&t=3676",62
 = columbia p444,,340 CE - 410 CE,grc,,,,"/apis/columbia.apis.p444?rows=3&start=335&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=336&t=3676",63
 = columbia p452,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p452?rows=3&start=336&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=337&t=3676",64
 = columbia p453,,200 CE - 399 CE,grc,,,,"/apis/columbia.apis.p453?rows=3&start=337&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=338&t=3676",65
 = columbia p454,,98 CE - 117 CE,grc,,,,"/apis/columbia.apis.p454?rows=3&start=338&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=339&t=3676",66
 = columbia p455,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p455?rows=3&start=339&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=340&t=3676",67
 = columbia p457,,100 CE - 299 CE,grc,,,,"/apis/columbia.apis.p457?rows=3&start=340&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=341&t=3676",68
 = columbia p461,,100 CE - 299 CE,grc,,,,"/apis/columbia.apis.p461?rows=3&start=341&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=342&t=3676",69
 = columbia p467,,1 CE - 50 CE,grc,,,,"/apis/columbia.apis.p467?rows=3&start=343&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=344&t=3676",70
 = columbia p468,,1 CE - 99 CE,grc,,,,"/apis/columbia.apis.p468?rows=3&start=344&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=345&t=3676",71
 = columbia p469,,54 CE - 68 CE,grc,,,,"/apis/columbia.apis.p469?rows=3&start=345&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=346&t=3676",72
 = columbia p470,,449 CE,grc,,,,"/apis/columbia.apis.p470?rows=3&start=346&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=347&t=3676",73
 = columbia p471,,200 CE - 299 CE,grc,,,,"/apis/columbia.apis.p471?rows=3&start=347&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=348&t=3676",74
 = columbia p474,,99 BCE - 1 BCE,grc,,,,"/apis/columbia.apis.p474?rows=3&start=348&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=349&t=3676",75
 = columbia p476,,1 CE - 99 CE,grc,,,,"/apis/columbia.apis.p476?rows=3&start=349&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=350&t=3676",76
 = columbia p478,,98 CE - 117 CE,grc,,,,"/apis/columbia.apis.p478?rows=3&start=350&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=351&t=3676",77
 = columbia p483,,143 CE,grc,,,,"/apis/columbia.apis.p483?rows=3&start=351&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=352&t=3676",78
 = columbia p484,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p484?rows=3&start=352&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=353&t=3676",79
 = columbia p485,,299 BCE - 200 BCE,grc,,,,"/apis/columbia.apis.p485?rows=3&start=353&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=354&t=3676",80
 = columbia p486,,184 CE - 185 CE,grc,,,,"/apis/columbia.apis.p486?rows=3&start=354&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=355&t=3676",81
 = columbia p488,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p488?rows=3&start=356&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=357&t=3676",82
 = columbia p487,,200 CE - 290 CE,grc,,,,"/apis/columbia.apis.p487?rows=3&start=355&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=356&t=3676",83
 = columbia p498,,331 CE,grc,,,,"/apis/columbia.apis.p498?rows=3&start=357&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=358&t=3676",84
 = columbia p503,,100 CE - 299 CE,grc,,,,"/apis/columbia.apis.p503?rows=3&start=358&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=359&t=3676",85
 = columbia p506,,100 CE - 299 CE,grc,,,,"/apis/columbia.apis.p506?rows=3&start=359&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=360&t=3676",86
 = columbia p507,,200 CE - 299 CE,grc,,,,"/apis/columbia.apis.p507?rows=3&start=360&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=361&t=3676",87
 = columbia p508,,400 CE - 499 CE,grc,,,,"/apis/columbia.apis.p508?rows=3&start=361&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=362&t=3676",88
 = columbia p511,,100 CE - 299 CE,grc,,,,"/apis/columbia.apis.p511?rows=3&start=362&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=363&t=3676",89
 = columbia p512,,201 CE - 299 CE,grc,,,,"/apis/columbia.apis.p512?rows=3&start=363&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=364&t=3676",90
 = columbia p513,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p513?rows=3&start=364&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=365&t=3676",91
 = columbia p514,,200 CE - 299 CE,grc,,,,"/apis/columbia.apis.p514?rows=3&start=365&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=366&t=3676",92
 = columbia p515,,550 CE - 599 CE,grc,,,,"/apis/columbia.apis.p515?rows=3&start=366&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=367&t=3676",93
 = columbia p517,,200 BCE - 1 BCE,grc,,,,"/apis/columbia.apis.p517?rows=3&start=367&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=368&t=3676",94
 = columbia p518,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p518?rows=3&start=368&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=369&t=3676",95
 = columbia p525,,299 BCE - 200 BCE,grc,,,,"/apis/columbia.apis.p525?rows=3&start=371&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=372&t=3676",96
 = columbia p527,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p527?rows=3&start=372&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=373&t=3676",97
 = columbia p528,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p528?rows=3&start=374&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=375&t=3676",98
 = columbia p529,,100 CE - 299 CE,grc,,,,"/apis/columbia.apis.p529?rows=3&start=375&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=376&t=3676",99
 = columbia p530,,100 CE - 299 CE,grc,,,,"/apis/columbia.apis.p530?rows=3&start=376&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=377&t=3676",100
 = columbia p535,,300 CE - 399 CE,grc,,,,"/apis/columbia.apis.p535?rows=3&start=377&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=378&t=3676",101
 = columbia p536,,300 CE - 399 CE,grc,,,,"/apis/columbia.apis.p536?rows=3&start=378&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=379&t=3676",102
 = columbia p551,,100 CE - 199 CE,grc,,,,"/apis/columbia.apis.p551?rows=3&start=381&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=382&t=3676",103
 = columbia p569,,284 CE - 299 CE,grc,,,,"/apis/columbia.apis.p569?rows=3&start=382&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=383&t=3676",104
 = columbia p576,,201 CE - 299 CE,grc,,,,"/apis/columbia.apis.p576?rows=3&start=383&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=384&t=3676",105
 = columbia p577,,200 CE - 299 CE,grc,,,,"/apis/columbia.apis.p577?rows=3&start=385&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=386&t=3676",106
 = columbia p612,,100 CE - 299 CE,grc,,,,"/apis/columbia.apis.p612?rows=3&start=386&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=387&t=3676",107
 = columbia p613,,100 CE - 299 CE,grc,,,,"/apis/columbia.apis.p613?rows=3&start=387&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=388&t=3676",108
 = columbia p621,,500 CE - 599 CE,grc,,,,"/apis/columbia.apis.p621?rows=3&start=388&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=389&t=3676",109
 = columbia p625,,400 CE - 599 CE,grc,,,,"/apis/columbia.apis.p625?rows=3&start=389&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=390&t=3676",110
 = columbia p626,,500 CE - 599 CE,grc,,,,"/apis/columbia.apis.p626?rows=3&start=390&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=391&t=3676",111
 = columbia p628,,300 CE - 399 CE,grc,,,,"/apis/columbia.apis.p628?rows=3&start=391&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=392&t=3676",112
 = columbia p629,,700 CE - 799 CE,grc,,,,"/apis/columbia.apis.p629?rows=3&start=392&fl=id,title&fq=(images-int:true)&fq=facet_language:grc&sort=series+asc,volume+asc,item+asc&p=393&t=3676",113
